Class,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM
PeepholeSimplifyRegExp,1,0,29,0,18,0,0,2,2,15.0,33,5.222222222222222
MinimizeExitPoints,6,1,91,1,49,0,0,4,6,13.833333333333334,33,3.5398230088495577
RenameLabels,1,9,56,1,15,0,0,1,9,10.2,33,8.176470588235293
JsMessageExtractor,2,4,20,0,12,0,1,1,6,14.25,33,10.454545454545455
Tracer,25,31,179,0,54,0,0,3,72,13.714285714285714,43,7.38768115942029
VerboseMessageFormatter,3,0,12,0,4,0,0,1,2,10.0,33,14.142857142857142
DiagnosticType,9,5,15,2,1,0,0,1,12,6.777777777777778,33,17.615384615384617
StrictModeCheck,9,13,108,1,20,0,0,3,12,11.75,33,1.9626168224299065
JSModule,26,6,87,2,8,0,1,2,29,11.884615384615385,33,5.653333333333333
JsMessageDefinition,3,3,0,0,1,0,0,1,3,16.333333333333332,33,32.333333333333336
LiveVariablesAnalysis,10,5,100,0,54,0,0,8,6,12.5,33,3.5247524752475248
StatementFusion,6,0,47,0,16,0,0,7,2,23.833333333333332,33,3.25531914893617
VariableVisibilityAnalysis,3,2,20,1,19,0,0,1,10,15.666666666666666,33,12.875
FunctionRewriter,3,17,104,1,19,0,0,5,23,12.88,33,4.078740157480315
CheckUnreachableCode,5,3,25,1,9,0,0,3,2,8.666666666666666,33,4.571428571428571
DataFlowAnalysis,13,9,158,0,29,0,0,2,23,9.46875,62,7.6223776223776225
RemoveUnusedVars,13,24,297,2,61,0,0,4,33,18.296296296296298,33,2.7822349570200573
CollapseVariableDeclarations,3,7,71,1,23,0,0,3,10,12.333333333333334,33,4.112676056338028
RemoveTryCatch,1,2,24,1,31,0,0,2,3,6.0,33,3.3823529411764706
DiagnosticGroups,7,35,44,0,2,0,0,1,5,14.714285714285714,33,10.636363636363637
ObjectPropertyStringPreprocess,2,6,54,1,27,0,0,6,2,10.666666666666666,43,3.2
CheckSideEffects,5,7,60,1,24,0,0,4,4,9.142857142857142,33,2.8181818181818183
FindExportableNodes,2,6,30,0,24,0,0,1,4,9.8,33,5.0
PeepholeOptimizationsPass,10,8,40,1,13,0,0,2,4,9.4,33,1.8611111111111112
JvmMetrics,10,4,137,0,30,0,0,4,2,18.3,97,0.6888888888888889
ByPathWarningsGuard,4,5,7,0,9,0,0,2,5,8.25,33,14.0
