Class,MTH,RFC,FLD,INT,BCM,NML,WRD,DCM,SZ,CPX,EX,RET,buggy
PeepholeSimplifyRegExp,1,29,0,0,2,9.685714285714283,0,6.266666666666667,18,4,0,3,0
MinimizeExitPoints,6,89,1,1,6,9.15,0,12.12121212121212,113,28,0,15,1
RenameLabels,1,50,9,3,9,8.619047619047619,0,23.166666666666668,51,9,0,14,1
JsMessageExtractor,2,17,4,0,6,10.31578947368421,0,38.333333333333336,22,4,2,7,0
Tracer,25,176,31,0,72,8.301369863013699,0,43.38297872340426,276,58,0,83,0
VerboseMessageFormatter,3,10,0,0,2,10.125,0,0.0,7,1,0,6,0
DiagnosticType,9,7,5,2,12,7.6,0,0.0,13,0,0,18,0
StrictModeCheck,9,105,13,1,12,7.719745222929936,0,35.0,107,36,0,15,0
JSModule,26,63,6,2,29,8.212962962962964,0,106.0,75,12,1,40,0
JsMessageDefinition,3,0,3,0,3,11.857142857142858,0,0.0,6,0,0,6,0
LiveVariablesAnalysis,10,92,5,2,6,9.622377622377622,0,29.666666666666668,101,19,0,39,1
StatementFusion,6,47,0,0,2,12.788732394366198,0,10.2,47,11,0,18,0
VariableVisibilityAnalysis,3,18,2,1,10,9.794117647058824,0,0.0,24,5,0,5,0
FunctionRewriter,3,90,17,2,23,10.26923076923077,0,64.75,127,31,0,65,1
CheckUnreachableCode,5,20,3,2,2,9.6,0,9.6,21,5,0,11,0
DataFlowAnalysis,13,153,9,2,23,9.071428571428571,0,136.25,143,32,0,50,0
RemoveUnusedVars,13,293,24,2,33,10.238532110091745,0,9.247619047619049,349,91,0,58,1
CollapseVariableDeclarations,3,69,7,1,10,8.910891089108912,0,32.44444444444444,71,17,0,13,1
RemoveTryCatch,1,22,2,1,3,9.117647058823527,0,11.5,34,8,0,4,0
DiagnosticGroups,7,43,35,0,5,12.272727272727272,0,19.5,11,0,0,13,1
ObjectPropertyStringPreprocess,2,52,6,1,2,10.7,0,37.333333333333336,35,7,0,9,0
CheckSideEffects,5,55,7,2,4,8.817073170731707,0,8.157894736842104,55,13,0,11,1
FindExportableNodes,2,25,6,0,4,9.688888888888888,0,0.0,33,7,0,9,0
PeepholeOptimizationsPass,10,36,8,2,4,7.973684210526316,0,12.181818181818182,72,15,0,24,1
JvmMetrics,10,136,4,0,2,10.245901639344265,0,31.0,135,32,0,17,0
ByPathWarningsGuard,4,4,5,0,5,9.470588235294118,0,0.0,18,3,0,9,0
DefaultPassConfig,20,341,121,2,128,9.746696035242293,0,8.581967213114755,611,125,0,280,0
FunctionNames,4,19,13,4,2,10.416666666666666,0,24.33333333333333,37,5,0,15,0
AbstractCommandLineRunner,54,429,69,0,95,10.327433628318584,0,32.39344262295082,740,157,44,204,1
ClosureCodeRemoval,1,50,11,1,16,9.558441558441558,0,100.0,55,14,0,4,0
OptimizeReturns,5,38,1,2,5,9.130434782608695,0,20.9,45,13,0,13,0
CheckRegExp,3,20,4,1,2,8.333333333333334,0,112.0,17,4,0,4,0
ControlFlowAnalysis,38,353,13,2,29,10.005813953488373,0,13.79746835443038,402,85,0,125,1
NameReferenceGraphReport,8,105,1,1,12,9.325925925925926,0,28.944444444444443,90,14,0,16,0
AnalyzePrototypeProperties,3,215,34,6,32,10.144886363636363,0,9.014285714285714,236,55,0,90,1
PeepholeFoldConstants,35,453,8,0,22,9.635155096011816,0,4.228571428571429,665,150,0,220,1
AbstractCompiler,51,1,2,1,53,14.90625,0,94.8,5,0,0,58,0
UseSite,2,1,3,0,2,6.833333333333333,0,113.0,5,0,0,4,0
RescopeGlobalSymbols,2,90,6,1,6,8.843283582089553,0,13.653846153846152,85,20,0,17,0
XtbMessageBundle,4,46,11,3,5,10.707865168539326,0,25.428571428571427,54,7,2,21,0
CoalesceVariableNames,7,155,10,2,6,8.456140350877194,0,5.25531914893617,152,41,0,35,1
NameGenerator,4,20,7,0,8,8.41025641025641,0,77.66666666666667,44,12,0,9,0
CheckPathsBetweenNodes,8,39,11,0,8,11.039473684210526,0,14.333333333333334,76,18,0,19,0
MethodCompilerPass,5,82,5,1,12,9.421487603305785,0,9.25,69,16,0,13,1
EmptyMessageBundle,3,1,0,1,5,8.0,0,0.0,3,0,0,6,0
AnalyzeNameReferences,3,21,5,3,5,11.512820512820513,0,0.0,37,7,0,15,0
RemoveUnusedClassProperties,5,51,4,2,3,9.18918918918919,0,8.875,47,13,0,9,0
VarCheck,6,84,11,1,6,9.28099173553719,0,5.40625,84,21,0,13,1
CompilerInput,28,89,11,2,16,10.208860759493673,0,12.275862068965518,95,12,2,53,0
ConvertToDottedProperties,2,16,1,1,2,10.590909090909092,0,0.0,15,3,0,2,0
FieldCleanupPass,2,21,3,1,4,11.578947368421051,0,113.33333333333331,18,4,0,7,0
DiagnosticGroup,6,14,4,1,12,7.588235294117647,0,69.33333333333333,25,4,0,13,0
SymbolTable,48,485,28,4,53,10.721716514954489,0,13.6697247706422,506,134,0,207,0
PrepareAst,4,59,2,2,8,10.541666666666666,0,27.1,66,17,0,11,1
ControlStructureCheck,4,14,2,1,3,8.181818181818182,0,0.0,13,3,0,4,0
ClosureRewriteClass,16,173,16,1,5,9.872881355932204,0,6.85,141,34,0,38,0
ReplaceMessagesForChrome,4,38,0,0,2,10.333333333333334,0,67.0,32,7,1,8,0
ProcessDefines,6,128,23,2,22,8.88659793814433,0,13.341463414634148,152,35,0,31,0
PreprocessorSymbolTable,9,15,3,2,3,9.548387096774194,0,0.0,15,1,0,17,0
MarkNoSideEffectCalls,3,41,5,1,6,11.352941176470589,0,31.166666666666668,54,15,0,12,0
PrintStreamErrorManager,3,14,3,0,4,10.884615384615383,0,0.0,12,2,0,3,0
CodePrinter,1,88,25,0,28,9.11891891891892,0,16.341463414634145,198,33,0,64,1
TypeCheck,39,687,50,2,32,10.220636663007683,0,6.189944134078212,636,147,0,70,1
PeepholeFoldWithTypes,2,21,0,0,3,8.142857142857142,0,35.666666666666664,33,10,0,6,0
PassConfig,17,36,15,1,22,12.658227848101266,0,413.0,61,8,0,36,0
AbstractPeepholeOptimization,13,22,1,0,16,13.45,0,138.0,24,3,0,21,0
RenamePrototypes,3,106,14,1,16,9.07471264367816,0,19.5,141,38,0,31,1
RhinoErrorReporter,6,35,8,2,3,9.955882352941176,0,15.0,31,4,0,19,0
NameReferenceGraph,6,52,17,1,11,9.52136752136752,0,11.891891891891891,85,10,0,60,0
UnreachableCodeElimination,4,62,4,2,4,9.75,0,15.0,75,20,0,22,1
ReplaceCssNames,2,67,10,1,3,8.454545454545455,0,24.33333333333333,64,14,0,8,0
ObjectPropertyStringPostprocess,1,25,1,1,2,13.866666666666667,0,18.33333333333333,22,4,0,4,0
DefinitionSite,0,0,5,0,2,14.0,0,0.0,5,0,0,0,0
GroupVariableDeclarations,6,39,1,2,3,8.2,0,18.88235294117647,46,12,0,10,0
Strings,3,11,0,0,5,12.64,0,500.0,14,4,0,9,0
CheckRequiresForConstructors,4,74,7,2,4,9.457943925233645,0,13.727272727272728,68,16,0,16,0
MemoizedScopeCreator,7,19,2,2,4,9.1875,0,0.0,21,4,0,13,0
GatherRawExports,4,16,3,1,2,8.172413793103448,0,53.0,20,6,0,8,0
ExpressionDecomposer,26,215,8,0,28,10.281609195402298,0,7.290780141843972,221,46,0,56,0
JSModuleGraph,15,130,6,1,21,9.07843137254902,0,59.53846153846154,153,39,4,39,0
InlineFunctions,19,296,31,7,34,10.539525691699604,0,5.491071428571429,359,91,0,129,1
ShadowVariables,1,67,7,2,4,6.460176991150442,0,3.3,87,26,0,15,0
GlobalNamespace,18,202,39,7,43,9.242857142857142,0,25.92727272727273,444,86,0,164,1
ClosureOptimizePrimitives,3,33,2,1,7,9.42,0,76.5,36,9,0,7,0
FunctionTypeBuilder,20,228,38,4,28,10.557029177718832,0,19.0,329,81,0,100,1
DotFormatter,12,91,8,0,9,7.541984732824427,0,33.22222222222222,97,15,8,21,0
CrossModuleCodeMotion,8,111,11,1,14,8.775862068965518,0,6.9361702127659575,135,40,0,36,0
JSSourceFile,10,11,2,1,2,10.0,0,116.0,12,0,2,19,0
ComposeWarningsGuard,8,29,8,2,4,7.566666666666666,0,35.4,58,15,0,23,0
VariableReferenceCheck,2,47,6,2,4,8.820512820512821,0,10.105263157894736,54,17,0,4,0
ReplaceMessages,8,100,3,0,8,9.914285714285716,0,28.0,94,20,5,18,0
CleanupPasses,4,16,5,1,3,11.487179487179487,0,136.0,22,4,0,15,0
InlineVariables,2,243,8,4,26,10.57471264367816,0,6.9523809523809526,228,62,0,65,1
ProcessCommonJSModules,6,112,12,1,12,10.138157894736842,0,45.833333333333336,79,14,0,21,1
SanityCheck,5,31,4,1,5,11.846153846153848,0,17.5,31,6,0,7,0
SuppressDocWarningsGuard,2,15,2,0,4,7.870967741935484,0,14.0,29,11,0,5,0
PeepholeSubstituteAlternateSyntax,47,633,10,0,42,10.119275825346111,0,5.645833333333333,678,152,0,179,1
AstChangeProxy,6,24,1,0,10,10.216216216216216,0,156.0,28,5,0,8,0
DiagnosticGroupWarningsGuard,4,6,3,0,2,7.066666666666666,0,0.0,13,3,0,9,0
JqueryCodingConvention,3,12,3,0,2,11.68421052631579,0,0.0,7,0,0,6,0
InferJSDocInfo,5,55,2,1,4,10.032608695652174,0,8.766666666666667,67,20,0,10,0
SpecializeModule,8,123,14,1,33,11.944186046511629,0,58.38461538461539,141,31,0,51,0
SideEffectsAnalysis,9,90,21,3,45,12.026200873362445,0,24.328125,171,31,0,102,0
AmbiguateProperties,10,194,23,4,28,9.523809523809524,0,23.46153846153846,194,46,0,55,1
SourceFile,30,66,15,2,23,9.239766081871345,0,17.21875,141,20,10,94,1
LineNumberCheck,4,9,3,2,2,7.368421052631579,0,27.0,17,4,0,5,0
OptimizeCalls,2,5,2,1,2,7.285714285714286,0,0.0,9,2,0,4,0
CrossModuleMethodMotion,2,52,10,2,7,10.9125,0,5.25,43,11,0,6,1
Compiler,155,673,67,1,104,10.296888888888889,0,13.801652892561984,848,158,7,316,1
NodeNameExtractor,1,27,2,0,3,8.083333333333334,0,0.0,25,5,0,12,0
TypedCodeGenerator,5,104,0,0,7,10.271428571428572,0,73.75,99,27,0,14,0
TypeInferencePass,4,26,6,1,4,11.304347826086955,0,4.758620689655173,22,1,0,9,0
SyntheticAst,5,4,4,1,2,10.714285714285714,0,0.0,10,0,0,8,0
